idx	label	predict	correct	time
0	4	4	1	0:00:03.065099
1	4	4	1	0:00:03.068310
2	4	4	1	0:00:03.056612
3	4	4	1	0:00:03.035303
4	4	4	1	0:00:03.052566
5	4	4	1	0:00:03.043907
6	4	4	1	0:00:03.074938
7	4	4	1	0:00:03.088903
8	4	4	1	0:00:03.050770
9	4	4	1	0:00:03.050230
10	4	4	1	0:00:01.777973
11	4	4	1	0:00:01.438054
12	4	4	1	0:00:01.465123
13	4	4	1	0:00:01.423695
14	4	4	1	0:00:01.422662
15	4	4	1	0:00:01.422134
16	4	4	1	0:00:01.439860
17	4	4	1	0:00:01.831713
18	4	4	1	0:00:02.999795
19	4	4	1	0:00:02.952943
20	4	4	1	0:00:02.987810
21	4	4	1	0:00:02.998991
22	4	4	1	0:00:03.059089
23	4	4	1	0:00:02.987889
24	4	4	1	0:00:02.944040
25	4	4	1	0:00:02.995744
26	4	4	1	0:00:03.002955
27	4	4	1	0:00:02.971570
28	4	4	1	0:00:03.024204
29	4	4	1	0:00:03.016440
30	4	4	1	0:00:02.973283
31	3	4	0	0:00:03.029507
32	3	4	0	0:00:03.026016
33	3	4	0	0:00:02.984423
34	3	4	0	0:00:03.009837
35	3	4	0	0:00:03.022619
36	3	4	0	0:00:03.018363
37	3	4	0	0:00:02.969312
38	3	4	0	0:00:03.025664
39	3	4	0	0:00:03.016518
40	3	4	0	0:00:02.972062
41	3	4	0	0:00:03.019266
42	3	4	0	0:00:03.031201
43	3	4	0	0:00:03.000081
44	3	3	1	0:00:02.979648
45	3	3	1	0:00:03.016234
46	3	4	0	0:00:03.021337
47	3	4	0	0:00:02.974991
48	3	4	0	0:00:03.047886
49	3	4	0	0:00:03.025989
50	3	4	0	0:00:02.976704
51	3	4	0	0:00:03.023323
52	3	4	0	0:00:03.022323
53	3	4	0	0:00:03.079624
54	3	4	0	0:00:03.043933
55	5	5	1	0:00:03.013601
56	5	5	1	0:00:02.985733
57	5	5	1	0:00:03.014673
58	5	5	1	0:00:03.020615
59	5	5	1	0:00:03.003299
60	5	5	1	0:00:02.966553
61	5	5	1	0:00:03.015103
62	5	5	1	0:00:03.014726
63	5	5	1	0:00:02.958029
64	5	5	1	0:00:02.956129
65	5	5	1	0:00:03.019460
66	5	5	1	0:00:03.014483
67	5	5	1	0:00:02.969316
68	5	5	1	0:00:03.023720
69	5	5	1	0:00:03.002151
70	5	5	1	0:00:02.963160
71	5	5	1	0:00:03.024094
72	5	5	1	0:00:03.020578
73	5	5	1	0:00:02.966133
74	5	5	1	0:00:03.004507
75	5	5	1	0:00:03.015621
76	5	5	1	0:00:02.969570
77	5	5	1	0:00:03.008904
78	5	5	1	0:00:03.025284
79	0	1	0	0:00:03.067543
80	0	0	1	0:00:03.121014
81	0	0	1	0:00:03.014276
82	0	0	1	0:00:02.974025
83	0	0	1	0:00:03.009087
84	0	0	1	0:00:03.012039
85	0	0	1	0:00:02.966063
86	0	0	1	0:00:03.014737
87	0	0	1	0:00:03.013970
88	0	0	1	0:00:02.962730
89	0	0	1	0:00:02.986052
90	0	0	1	0:00:03.018275
91	0	0	1	0:00:03.004465
92	0	0	1	0:00:02.951259
93	0	0	1	0:00:03.008792
94	0	1	0	0:00:03.036210
95	0	0	1	0:00:02.949897
96	0	0	1	0:00:03.008201
97	0	0	1	0:00:03.011420
98	0	0	1	0:00:02.988602
99	0	0	1	0:00:03.024018
100	0	0	1	0:00:02.993562
101	0	0	1	0:00:03.062465
102	0	0	1	0:00:03.018716
103	0	0	1	0:00:03.010763
104	0	0	1	0:00:02.947198
105	0	0	1	0:00:03.008962
106	0	0	1	0:00:03.008878
107	0	0	1	0:00:02.989644
108	0	0	1	0:00:02.988384
109	2	1	0	0:00:03.007665
110	2	1	0	0:00:02.970134
111	2	1	0	0:00:03.013813
112	2	1	0	0:00:03.013554
113	2	1	0	0:00:03.002112
114	2	1	0	0:00:02.970777
115	2	2	1	0:00:03.008022
116	2	2	1	0:00:03.057457
117	2	2	1	0:00:02.992622
118	2	2	1	0:00:03.010435
119	2	2	1	0:00:03.013792
120	2	2	1	0:00:02.959535
121	2	2	1	0:00:03.014544
122	2	2	1	0:00:03.018008
123	2	2	1	0:00:02.957680
124	2	2	1	0:00:03.014628
125	2	1	0	0:00:03.008917
126	2	2	1	0:00:02.982432
127	2	2	1	0:00:03.108319
128	2	2	1	0:00:03.033728
129	2	2	1	0:00:02.954473
130	2	2	1	0:00:03.014606
131	2	2	1	0:00:03.015035
132	2	1	0	0:00:02.964769
133	1	1	1	0:00:03.011875
134	1	1	1	0:00:03.045471
135	1	1	1	0:00:03.049868
136	1	1	1	0:00:03.008847
137	1	1	1	0:00:03.016658
138	1	1	1	0:00:02.984385
139	1	1	1	0:00:03.264530
140	1	1	1	0:00:03.210138
141	1	1	1	0:00:03.045284
142	1	1	1	0:00:02.957280
143	1	1	1	0:00:03.008821
144	1	1	1	0:00:03.001051
145	1	1	1	0:00:02.970036
146	1	1	1	0:00:02.992854
147	1	1	1	0:00:03.026314
148	1	1	1	0:00:03.232852
149	1	1	1	0:00:03.007709
150	1	1	1	0:00:03.006594
151	1	1	1	0:00:02.925572
152	1	1	1	0:00:03.010946
153	1	1	1	0:00:03.023826
154	1	1	1	0:00:02.987569
155	1	1	1	0:00:03.017442
156	1	1	1	0:00:03.013741
157	1	1	1	0:00:02.953757
158	4	4	1	0:00:03.011036
159	4	4	1	0:00:03.007914
160	4	4	1	0:00:02.960757
161	4	4	1	0:00:03.012074
162	4	4	1	0:00:03.005187
163	4	4	1	0:00:02.962739
164	4	4	1	0:00:03.002278
165	4	4	1	0:00:03.027240
166	4	4	1	0:00:02.992937
167	4	4	1	0:00:03.008623
168	4	4	1	0:00:03.024574
169	4	4	1	0:00:03.005544
170	4	4	1	0:00:02.989293
171	4	4	1	0:00:03.005609
172	4	4	1	0:00:03.024693
173	4	4	1	0:00:02.928740
174	4	4	1	0:00:03.027292
175	4	4	1	0:00:03.000371
176	4	4	1	0:00:02.958813
177	4	4	1	0:00:03.033399
178	4	4	1	0:00:03.001522
179	4	4	1	0:00:02.960015
180	4	4	1	0:00:03.004919
181	3	3	1	0:00:03.006026
182	3	3	1	0:00:02.958096
183	3	3	1	0:00:02.980335
184	3	3	1	0:00:03.006636
185	3	3	1	0:00:02.956254
186	3	3	1	0:00:03.002554
187	3	3	1	0:00:03.048747
188	3	3	1	0:00:02.994619
189	3	3	1	0:00:03.001454
190	3	3	1	0:00:02.996746
191	3	3	1	0:00:02.995184
192	3	3	1	0:00:03.003576
193	3	3	1	0:00:03.009068
194	3	3	1	0:00:03.000813
195	3	3	1	0:00:03.031510
196	3	3	1	0:00:03.026485
197	3	4	0	0:00:02.969825
198	3	3	1	0:00:03.016645
199	3	3	1	0:00:03.057537
200	3	3	1	0:00:02.970887
201	3	3	1	0:00:03.049876
202	3	3	1	0:00:03.132715
203	5	5	1	0:00:02.990098
204	5	5	1	0:00:03.010040
205	5	5	1	0:00:03.016898
206	5	5	1	0:00:02.952080
207	5	5	1	0:00:03.012925
208	5	5	1	0:00:03.005407
209	5	5	1	0:00:02.963853
210	5	5	1	0:00:03.012039
211	5	5	1	0:00:03.005372
212	5	5	1	0:00:02.981251
213	5	5	1	0:00:02.985314
214	5	5	1	0:00:03.013654
215	5	5	1	0:00:03.025894
216	5	5	1	0:00:03.004346
217	5	5	1	0:00:03.012561
218	5	5	1	0:00:02.995974
219	5	5	1	0:00:02.995587
220	5	5	1	0:00:03.050799
221	5	5	1	0:00:02.995466
222	5	5	1	0:00:02.979149
223	5	5	1	0:00:03.005139
224	5	5	1	0:00:03.175755
225	5	5	1	0:00:03.283398
226	5	5	1	0:00:03.242807
227	0	1	0	0:00:03.063110
228	0	0	1	0:00:03.011457
229	0	1	0	0:00:02.966798
230	0	0	1	0:00:03.005626
231	0	0	1	0:00:03.003979
232	0	0	1	0:00:02.952680
233	0	1	0	0:00:03.082048
234	0	0	1	0:00:03.037375
235	0	0	1	0:00:03.049833
236	0	0	1	0:00:03.044733
237	0	0	1	0:00:03.047259
238	0	0	1	0:00:03.033547
239	0	0	1	0:00:03.036734
240	0	0	1	0:00:03.041093
241	0	0	1	0:00:03.055010
242	0	0	1	0:00:03.025573
243	0	0	1	0:00:03.036541
244	0	1	0	0:00:03.040762
245	0	0	1	0:00:03.042388
246	0	0	1	0:00:03.030671
247	0	0	1	0:00:03.038227
248	0	0	1	0:00:03.041919
249	0	0	1	0:00:03.046772
250	0	0	1	0:00:03.051614
251	0	1	0	0:00:03.056790
252	0	1	0	0:00:03.056855
253	0	1	0	0:00:03.046153
254	0	0	1	0:00:03.021596
255	0	1	0	0:00:03.032376
256	2	1	0	0:00:03.038246
257	2	2	1	0:00:03.045710
258	2	2	1	0:00:03.038557
259	2	2	1	0:00:03.082052
260	2	2	1	0:00:03.052287
261	2	0	0	0:00:03.055336
262	2	2	1	0:00:03.034977
263	2	2	1	0:00:03.047073
264	2	2	1	0:00:03.043163
265	2	2	1	0:00:03.048898
266	2	2	1	0:00:03.039510
267	2	2	1	0:00:03.045088
268	2	2	1	0:00:03.045831
269	2	2	1	0:00:03.049980
270	2	2	1	0:00:03.031645
271	2	2	1	0:00:03.051884
272	2	2	1	0:00:03.028598
273	2	1	0	0:00:03.046490
274	2	2	1	0:00:03.037521
275	2	2	1	0:00:03.051857
276	2	2	1	0:00:03.040938
277	2	2	1	0:00:03.051150
278	2	2	1	0:00:03.040578
279	1	1	1	0:00:03.054066
280	1	1	1	0:00:03.036653
281	1	1	1	0:00:03.047074
282	1	1	1	0:00:03.034076
283	1	1	1	0:00:03.049106
284	1	1	1	0:00:03.038993
285	1	1	1	0:00:03.050420
286	1	1	1	0:00:03.056231
287	1	1	1	0:00:03.042359
288	1	1	1	0:00:03.036826
289	1	1	1	0:00:03.051316
290	1	1	1	0:00:03.055082
291	1	1	1	0:00:03.042857
292	1	1	1	0:00:03.037473
293	1	1	1	0:00:03.058248
294	1	1	1	0:00:03.058558
295	1	1	1	0:00:03.101852
296	1	1	1	0:00:03.041373
297	1	1	1	0:00:03.067509
298	1	1	1	0:00:03.063027
299	1	1	1	0:00:03.046576
300	1	1	1	0:00:03.047661
301	1	1	1	0:00:03.066787
302	4	4	1	0:00:03.058249
303	4	4	1	0:00:03.050737
304	4	4	1	0:00:03.057085
305	4	3	0	0:00:03.085460
306	4	4	1	0:00:03.086167
307	4	4	1	0:00:03.056363
308	4	4	1	0:00:03.048044
309	4	3	0	0:00:03.064310
310	4	3	0	0:00:03.058297
311	4	3	0	0:00:03.051744
312	4	3	0	0:00:02.563239
313	4	3	0	0:00:01.485206
314	4	3	0	0:00:01.479165
315	4	3	0	0:00:01.476217
316	4	3	0	0:00:01.484803
317	4	4	1	0:00:01.478694
318	4	4	1	0:00:01.463619
319	4	3	0	0:00:01.441699
320	4	3	0	0:00:02.792700
321	4	4	1	0:00:02.967715
322	4	4	1	0:00:02.968798
323	4	3	0	0:00:02.935836
324	4	3	0	0:00:02.993226
325	4	4	1	0:00:03.009172
326	4	4	1	0:00:02.996715
327	4	3	0	0:00:03.030088
328	4	4	1	0:00:03.019013
329	4	4	1	0:00:02.996735
330	3	3	1	0:00:03.043275
331	3	3	1	0:00:03.031383
332	3	3	1	0:00:02.976704
333	3	3	1	0:00:03.034126
334	3	3	1	0:00:03.045052
335	3	3	1	0:00:03.040516
336	3	3	1	0:00:02.994567
337	3	3	1	0:00:03.030601
338	3	3	1	0:00:03.044557
339	3	3	1	0:00:02.979909
340	3	3	1	0:00:03.040970
341	3	3	1	0:00:03.043800
342	3	3	1	0:00:03.005394
343	3	3	1	0:00:03.036744
344	3	4	0	0:00:03.042308
345	3	4	0	0:00:03.036234
346	3	3	1	0:00:03.016514
347	3	3	1	0:00:03.037817
348	3	3	1	0:00:03.041926
349	3	3	1	0:00:02.990184
350	3	4	0	0:00:03.026445
351	3	4	0	0:00:03.049565
352	3	3	1	0:00:02.988623
353	3	4	0	0:00:03.043129
354	5	5	1	0:00:03.038005
355	5	5	1	0:00:03.015112
356	5	5	1	0:00:03.024423
357	5	5	1	0:00:03.040049
358	5	5	1	0:00:03.033172
359	5	5	1	0:00:02.979530
360	5	5	1	0:00:03.041253
361	5	5	1	0:00:03.040057
362	5	5	1	0:00:03.003456
363	5	5	1	0:00:03.031368
364	5	5	1	0:00:03.025194
365	5	5	1	0:00:02.984615
366	5	5	1	0:00:03.047824
367	5	5	1	0:00:03.028394
368	5	5	1	0:00:03.005375
369	5	5	1	0:00:03.014993
370	5	5	1	0:00:03.037631
371	5	5	1	0:00:03.027538
372	5	5	1	0:00:02.967005
373	5	5	1	0:00:03.017656
374	5	5	1	0:00:03.029577
375	5	5	1	0:00:02.984366
376	5	5	1	0:00:03.022418
377	5	5	1	0:00:03.027136
378	5	5	1	0:00:02.990693
379	5	5	1	0:00:03.031734
380	5	5	1	0:00:03.016461
381	5	5	1	0:00:02.977272
382	5	5	1	0:00:03.033747
383	5	5	1	0:00:03.027934
384	0	0	1	0:00:02.985066
385	0	0	1	0:00:03.026767
386	0	0	1	0:00:03.046265
387	0	0	1	0:00:02.970004
388	0	0	1	0:00:03.017248
389	0	0	1	0:00:03.025849
390	0	0	1	0:00:03.020245
391	0	0	1	0:00:02.996522
392	0	0	1	0:00:03.032253
393	0	0	1	0:00:03.021769
394	0	0	1	0:00:02.970319
395	0	0	1	0:00:03.016418
396	0	0	1	0:00:03.028771
397	0	0	1	0:00:02.975297
398	0	0	1	0:00:03.026112
399	0	0	1	0:00:03.002700
400	0	0	1	0:00:02.968742
401	0	0	1	0:00:03.031402
402	0	0	1	0:00:03.019116
403	0	0	1	0:00:02.985785
404	0	0	1	0:00:03.011542
405	0	0	1	0:00:03.016876
406	0	0	1	0:00:02.970656
407	0	0	1	0:00:03.007090
408	0	0	1	0:00:03.024972
409	0	0	1	0:00:02.985822
410	0	0	1	0:00:03.031661
411	0	0	1	0:00:03.012521
412	0	0	1	0:00:03.000957
413	0	0	1	0:00:03.020648
414	0	0	1	0:00:03.030913
415	2	2	1	0:00:03.004866
416	2	2	1	0:00:03.029721
417	2	2	1	0:00:03.032138
418	2	5	0	0:00:02.999920
419	2	2	1	0:00:03.011297
420	2	2	1	0:00:03.041862
421	2	2	1	0:00:03.023939
422	2	2	1	0:00:03.016990
423	2	2	1	0:00:03.020002
424	2	2	1	0:00:03.004429
425	2	2	1	0:00:02.988128
426	2	2	1	0:00:03.034521
427	2	2	1	0:00:03.011358
428	2	2	1	0:00:02.981359
429	2	2	1	0:00:03.020678
430	2	2	1	0:00:03.029786
431	2	2	1	0:00:02.970605
432	2	2	1	0:00:03.018793
433	2	2	1	0:00:03.012962
434	2	2	1	0:00:02.988336
435	2	2	1	0:00:03.017786
436	2	2	1	0:00:03.005378
437	2	2	1	0:00:02.959875
438	1	1	1	0:00:02.997100
439	1	1	1	0:00:03.017444
440	1	1	1	0:00:02.948986
441	1	1	1	0:00:03.022063
442	1	1	1	0:00:02.999189
443	1	1	1	0:00:03.006830
444	1	1	1	0:00:03.046314
445	1	1	1	0:00:03.005052
446	1	1	1	0:00:02.996554
447	1	1	1	0:00:02.979592
448	1	1	1	0:00:03.015763
449	1	1	1	0:00:03.049099
450	1	1	1	0:00:02.967753
451	1	1	1	0:00:03.012153
452	1	1	1	0:00:03.012571
453	1	1	1	0:00:02.977268
454	1	1	1	0:00:03.034781
455	1	1	1	0:00:03.023915
456	1	1	1	0:00:02.993638
457	1	1	1	0:00:03.016635
458	1	1	1	0:00:03.019258
459	1	1	1	0:00:02.984045
460	1	1	1	0:00:03.040397
461	1	1	1	0:00:03.016772
462	1	1	1	0:00:02.985547
463	1	1	1	0:00:03.049994
464	1	1	1	0:00:03.021129
465	1	1	1	0:00:02.964767
466	4	4	1	0:00:03.038391
467	4	4	1	0:00:03.021385
468	4	4	1	0:00:03.000955
469	4	4	1	0:00:03.036110
470	4	4	1	0:00:03.039252
471	4	4	1	0:00:02.990756
472	4	4	1	0:00:03.019756
473	4	4	1	0:00:03.034680
474	4	4	1	0:00:02.966878
475	4	4	1	0:00:03.017921
476	4	4	1	0:00:03.023995
