idx	label	predict	correct	time
0	4	4	1	0:00:04.849934
1	4	4	1	0:00:04.763441
2	4	4	1	0:00:04.837836
3	4	4	1	0:00:04.806877
4	4	4	1	0:00:04.674663
5	4	4	1	0:00:04.725533
6	4	4	1	0:00:04.796497
7	4	4	1	0:00:04.820557
8	4	4	1	0:00:04.769332
9	4	4	1	0:00:04.692015
10	4	4	1	0:00:04.776129
11	4	4	1	0:00:04.928424
12	4	4	1	0:00:04.889246
13	4	4	1	0:00:04.998854
14	4	4	1	0:00:04.922021
15	4	4	1	0:00:04.979571
16	4	4	1	0:00:04.855146
17	4	4	1	0:00:04.820726
18	4	4	1	0:00:04.929682
19	4	4	1	0:00:04.981061
20	4	4	1	0:00:04.831080
21	4	4	1	0:00:04.686549
22	4	4	1	0:00:04.841961
23	4	4	1	0:00:04.917586
24	4	4	1	0:00:04.916049
25	4	4	1	0:00:04.914173
26	4	4	1	0:00:04.855053
27	4	4	1	0:00:04.961206
28	4	4	1	0:00:04.931363
29	4	4	1	0:00:05.106765
30	4	4	1	0:00:04.845685
31	3	3	1	0:00:04.995955
32	3	3	1	0:00:04.945632
33	3	3	1	0:00:04.975251
34	3	3	1	0:00:04.708084
35	3	3	1	0:00:04.761884
36	3	3	1	0:00:04.708252
37	3	3	1	0:00:04.666572
38	3	3	1	0:00:04.748895
39	3	3	1	0:00:04.668437
40	3	3	1	0:00:04.669348
41	3	3	1	0:00:04.763220
42	3	3	1	0:00:04.723821
43	3	3	1	0:00:04.649035
44	3	3	1	0:00:04.727641
45	3	-1	0	0:00:04.819750
46	3	3	1	0:00:04.669359
47	3	3	1	0:00:04.634240
48	3	3	1	0:00:04.651479
49	3	3	1	0:00:04.979208
50	3	3	1	0:00:04.786815
51	3	3	1	0:00:04.797581
52	3	3	1	0:00:04.617684
53	3	-1	0	0:00:04.678802
54	3	-1	0	0:00:04.773315
55	5	5	1	0:00:04.801231
56	5	5	1	0:00:04.922500
57	5	5	1	0:00:04.821944
58	5	5	1	0:00:04.933022
59	5	5	1	0:00:04.914961
60	5	5	1	0:00:04.861633
61	5	5	1	0:00:04.714997
62	5	5	1	0:00:04.778639
63	5	5	1	0:00:04.819569
64	5	5	1	0:00:04.872513
65	5	5	1	0:00:04.872381
66	5	5	1	0:00:04.815089
67	5	5	1	0:00:04.913125
68	5	5	1	0:00:04.802615
69	5	5	1	0:00:04.879711
70	5	5	1	0:00:04.925073
71	5	5	1	0:00:04.875384
72	5	5	1	0:00:05.003736
73	5	5	1	0:00:04.965986
74	5	5	1	0:00:04.845048
75	5	5	1	0:00:04.858001
76	5	5	1	0:00:04.935298
77	5	5	1	0:00:05.053659
78	5	5	1	0:00:04.949699
79	0	-1	0	0:00:04.950809
80	0	-1	0	0:00:04.965896
81	0	1	0	0:00:04.909792
82	0	-1	0	0:00:06.210249
83	0	1	0	0:00:06.447276
84	0	1	0	0:00:05.179977
85	0	3	0	0:00:04.889942
86	0	-1	0	0:00:05.129670
87	0	-1	0	0:00:04.959510
88	0	-1	0	0:00:04.811733
89	0	1	0	0:00:05.108759
90	0	1	0	0:00:05.034492
91	0	1	0	0:00:05.053453
92	0	1	0	0:00:04.862369
93	0	3	0	0:00:04.899549
94	0	-1	0	0:00:05.095342
95	0	3	0	0:00:05.398396
96	0	-1	0	0:00:06.300901
97	0	-1	0	0:00:05.069569
98	0	-1	0	0:00:05.054086
99	0	1	0	0:00:04.895025
100	0	1	0	0:00:04.919896
101	0	1	0	0:00:05.153292
102	0	1	0	0:00:06.638621
103	0	1	0	0:00:05.570421
104	0	1	0	0:00:04.700980
105	0	-1	0	0:00:04.797755
106	0	-1	0	0:00:04.700658
107	0	1	0	0:00:04.722116
108	0	3	0	0:00:04.740412
109	2	1	0	0:00:04.731658
110	2	1	0	0:00:04.861004
111	2	1	0	0:00:04.706053
112	2	1	0	0:00:04.632631
113	2	1	0	0:00:05.901887
114	2	1	0	0:00:05.912221
115	2	1	0	0:00:05.835915
116	2	1	0	0:00:06.115160
117	2	1	0	0:00:06.195603
118	2	1	0	0:00:06.002831
119	2	1	0	0:00:06.247233
120	2	1	0	0:00:06.109780
121	2	1	0	0:00:05.921631
122	2	1	0	0:00:05.923590
123	2	1	0	0:00:05.988466
124	2	1	0	0:00:06.098809
125	2	1	0	0:00:05.943896
126	2	1	0	0:00:05.955447
127	2	1	0	0:00:06.039289
128	2	-1	0	0:00:04.810275
129	2	1	0	0:00:04.813710
130	2	1	0	0:00:04.572588
131	2	1	0	0:00:04.596533
132	2	1	0	0:00:04.674973
133	1	1	1	0:00:04.651426
134	1	1	1	0:00:04.531810
135	1	1	1	0:00:04.558761
136	1	1	1	0:00:04.631448
137	1	1	1	0:00:04.556092
138	1	1	1	0:00:04.679806
139	1	1	1	0:00:04.574317
140	1	1	1	0:00:04.652473
141	1	1	1	0:00:04.481453
142	1	1	1	0:00:04.511296
143	1	1	1	0:00:04.685412
144	1	1	1	0:00:04.673707
145	1	1	1	0:00:04.615510
146	1	1	1	0:00:04.530870
147	1	5	0	0:00:04.509486
148	1	1	1	0:00:04.704705
149	1	5	0	0:00:04.598484
150	1	5	0	0:00:04.612838
151	1	5	0	0:00:04.674851
152	1	5	0	0:00:04.696003
153	1	5	0	0:00:04.627124
154	1	1	1	0:00:04.737898
155	1	5	0	0:00:04.729988
156	1	5	0	0:00:04.577311
157	1	5	0	0:00:04.603331
