idx	label	predict	correct	time
0	4	4	1	0:00:03.075066
1	4	4	1	0:00:01.735944
2	4	4	1	0:00:01.503071
3	4	4	1	0:00:01.482103
4	4	4	1	0:00:01.517335
5	4	4	1	0:00:01.544159
6	4	4	1	0:00:01.558852
7	4	4	1	0:00:01.441635
8	4	4	1	0:00:02.528377
9	4	4	1	0:00:02.944905
10	4	4	1	0:00:02.987861
11	4	4	1	0:00:03.017596
12	4	4	1	0:00:02.951094
13	4	4	1	0:00:02.963866
14	4	4	1	0:00:03.008616
15	4	3	0	0:00:02.973624
16	4	4	1	0:00:03.018968
17	4	4	1	0:00:03.035179
18	4	4	1	0:00:02.989371
19	4	4	1	0:00:03.023084
20	4	4	1	0:00:03.044075
21	4	4	1	0:00:03.047240
22	4	3	0	0:00:02.982548
23	4	3	0	0:00:03.053086
24	4	4	1	0:00:03.041327
25	4	4	1	0:00:03.014710
26	4	4	1	0:00:03.037937
27	4	4	1	0:00:03.030470
28	4	4	1	0:00:03.000015
29	4	4	1	0:00:03.069659
30	4	4	1	0:00:03.091269
31	3	3	1	0:00:03.006866
32	3	3	1	0:00:03.033631
33	3	3	1	0:00:03.032718
34	3	3	1	0:00:03.018544
35	3	3	1	0:00:02.977293
36	3	3	1	0:00:03.044378
37	3	3	1	0:00:03.051495
38	3	3	1	0:00:02.987113
39	3	3	1	0:00:03.027704
40	3	3	1	0:00:03.049781
41	3	3	1	0:00:02.996972
42	3	3	1	0:00:03.024777
43	3	3	1	0:00:03.034766
44	3	3	1	0:00:03.022899
45	3	3	1	0:00:03.038210
46	3	3	1	0:00:03.019545
47	3	3	1	0:00:03.037138
48	3	3	1	0:00:02.963208
49	3	3	1	0:00:03.030766
50	3	3	1	0:00:03.024229
51	3	3	1	0:00:02.977133
52	3	3	1	0:00:03.026500
53	3	3	1	0:00:03.064014
54	3	3	1	0:00:02.985989
55	5	5	1	0:00:03.022943
56	5	5	1	0:00:03.095089
57	5	5	1	0:00:02.960090
58	5	5	1	0:00:03.031155
59	5	5	1	0:00:03.015724
60	5	5	1	0:00:03.022893
61	5	5	1	0:00:03.067343
62	5	5	1	0:00:03.038389
63	5	5	1	0:00:02.985418
64	5	5	1	0:00:03.060296
65	5	5	1	0:00:03.030893
66	5	5	1	0:00:03.003373
67	5	5	1	0:00:03.038988
68	5	5	1	0:00:03.052026
69	5	5	1	0:00:03.006099
70	5	5	1	0:00:03.089744
71	5	5	1	0:00:03.029082
72	5	5	1	0:00:02.988287
73	5	5	1	0:00:03.030588
74	5	5	1	0:00:03.046950
75	5	5	1	0:00:02.980710
76	5	5	1	0:00:03.043581
77	5	5	1	0:00:03.044784
78	5	5	1	0:00:02.989907
79	0	5	0	0:00:02.998633
80	0	5	0	0:00:03.026944
81	0	5	0	0:00:02.990199
82	0	5	0	0:00:03.018988
83	0	5	0	0:00:03.032155
84	0	5	0	0:00:03.008615
85	0	-1	0	0:00:02.981571
86	0	5	0	0:00:03.045283
87	0	5	0	0:00:03.034667
88	0	5	0	0:00:02.980172
89	0	5	0	0:00:03.023833
90	0	5	0	0:00:03.027903
91	0	5	0	0:00:02.963926
92	0	5	0	0:00:03.014356
93	0	5	0	0:00:03.040027
94	0	5	0	0:00:02.975739
95	0	5	0	0:00:03.031694
96	0	5	0	0:00:03.024507
97	0	5	0	0:00:02.983908
98	0	5	0	0:00:03.020559
99	0	5	0	0:00:03.012562
100	0	5	0	0:00:02.987228
101	0	5	0	0:00:03.038458
102	0	5	0	0:00:03.035542
103	0	5	0	0:00:02.991660
104	0	5	0	0:00:03.018918
105	0	-1	0	0:00:03.031483
106	0	5	0	0:00:02.991384
107	0	5	0	0:00:03.014315
108	0	5	0	0:00:03.028577
109	2	5	0	0:00:02.982535
110	2	5	0	0:00:03.022990
111	2	5	0	0:00:03.026862
112	2	5	0	0:00:02.976971
113	2	5	0	0:00:03.041263
114	2	5	0	0:00:03.020257
115	2	5	0	0:00:02.989175
116	2	5	0	0:00:03.017089
117	2	5	0	0:00:03.057616
118	2	5	0	0:00:02.974319
119	2	5	0	0:00:03.035313
120	2	5	0	0:00:03.021736
121	2	5	0	0:00:02.984271
122	2	5	0	0:00:03.028050
123	2	5	0	0:00:02.995732
124	2	5	0	0:00:03.012920
125	2	5	0	0:00:02.976295
126	2	5	0	0:00:03.000853
127	2	5	0	0:00:03.023082
128	2	5	0	0:00:02.979152
129	2	5	0	0:00:03.026328
130	2	5	0	0:00:03.022029
131	2	5	0	0:00:02.978533
132	2	5	0	0:00:03.037447
133	1	5	0	0:00:03.045248
134	1	5	0	0:00:02.950819
135	1	5	0	0:00:03.067005
136	1	5	0	0:00:03.068019
137	1	5	0	0:00:02.959708
138	1	5	0	0:00:03.050633
139	1	5	0	0:00:02.989604
140	1	5	0	0:00:02.982500
141	1	5	0	0:00:03.026498
142	1	5	0	0:00:03.035638
143	1	5	0	0:00:02.991733
144	1	5	0	0:00:03.025070
145	1	5	0	0:00:03.022639
146	1	5	0	0:00:02.969124
147	1	5	0	0:00:03.025498
148	1	5	0	0:00:03.052683
149	1	5	0	0:00:02.981858
150	1	5	0	0:00:03.033147
151	1	5	0	0:00:03.008373
152	1	5	0	0:00:02.976295
153	1	5	0	0:00:03.004052
154	1	5	0	0:00:03.049030
155	1	5	0	0:00:03.007646
156	1	5	0	0:00:02.987983
157	1	5	0	0:00:03.003248
158	4	4	1	0:00:03.005389
159	4	4	1	0:00:02.973562
160	4	4	1	0:00:03.001989
161	4	4	1	0:00:03.000720
162	4	4	1	0:00:02.952631
163	4	4	1	0:00:03.009796
164	4	4	1	0:00:03.018423
165	4	4	1	0:00:02.996585
166	4	4	1	0:00:03.016775
167	4	4	1	0:00:03.022181
168	4	4	1	0:00:02.950048
169	4	4	1	0:00:02.994148
170	4	4	1	0:00:03.016900
171	4	4	1	0:00:03.021603
172	4	4	1	0:00:02.979516
173	4	4	1	0:00:03.045841
174	4	4	1	0:00:03.028862
175	4	4	1	0:00:02.995680
176	4	4	1	0:00:03.031242
177	4	4	1	0:00:03.026256
178	4	4	1	0:00:03.001994
179	4	4	1	0:00:03.017114
180	4	4	1	0:00:03.014431
181	3	3	1	0:00:03.006336
182	3	3	1	0:00:03.013566
183	3	3	1	0:00:03.026802
184	3	3	1	0:00:02.984957
185	3	3	1	0:00:03.036796
186	3	3	1	0:00:03.035097
187	3	3	1	0:00:02.966850
188	3	3	1	0:00:03.029661
189	3	3	1	0:00:03.036550
190	3	3	1	0:00:02.963487
191	3	3	1	0:00:02.980125
192	3	3	1	0:00:03.004818
193	3	3	1	0:00:03.021196
194	3	3	1	0:00:03.006976
195	3	3	1	0:00:03.008414
196	3	3	1	0:00:02.966573
197	3	3	1	0:00:03.032007
198	3	3	1	0:00:03.042701
199	3	3	1	0:00:02.965634
200	3	3	1	0:00:03.016600
201	3	3	1	0:00:03.019952
202	3	3	1	0:00:02.983093
203	5	5	1	0:00:02.977704
204	5	5	1	0:00:03.021961
205	5	5	1	0:00:03.031600
206	5	5	1	0:00:02.958380
207	5	5	1	0:00:03.004828
208	5	5	1	0:00:03.032051
209	5	5	1	0:00:03.030485
210	5	5	1	0:00:03.030446
211	5	5	1	0:00:02.992382
212	5	5	1	0:00:02.972696
213	5	5	1	0:00:03.018092
214	5	5	1	0:00:03.027313
215	5	5	1	0:00:02.978754
216	5	5	1	0:00:03.003764
217	5	5	1	0:00:03.002014
218	5	5	1	0:00:02.964223
219	5	5	1	0:00:03.033873
220	5	5	1	0:00:03.032583
221	5	5	1	0:00:02.972401
222	5	5	1	0:00:03.013909
223	5	5	1	0:00:02.991344
224	5	5	1	0:00:03.049941
225	5	5	1	0:00:03.054873
226	5	5	1	0:00:03.029613
227	0	5	0	0:00:03.043692
228	0	5	0	0:00:03.041887
229	0	5	0	0:00:03.044254
230	0	5	0	0:00:03.027672
231	0	5	0	0:00:03.051895
232	0	5	0	0:00:03.048875
233	0	5	0	0:00:03.041118
234	0	5	0	0:00:03.025790
235	0	5	0	0:00:03.040673
236	0	5	0	0:00:03.026144
237	0	5	0	0:00:03.042811
238	0	5	0	0:00:03.029682
239	0	5	0	0:00:03.050670
240	0	5	0	0:00:03.040150
241	0	5	0	0:00:03.046413
242	0	5	0	0:00:03.032717
243	0	5	0	0:00:03.052819
244	0	5	0	0:00:03.049872
245	0	5	0	0:00:03.037803
246	0	5	0	0:00:03.045464
247	0	5	0	0:00:03.035697
248	0	5	0	0:00:03.040967
249	0	5	0	0:00:03.046641
250	0	5	0	0:00:03.052246
251	0	5	0	0:00:03.028345
252	0	5	0	0:00:03.031933
253	0	5	0	0:00:03.042336
254	0	5	0	0:00:03.052764
255	0	5	0	0:00:03.050362
256	2	-1	0	0:00:03.033820
257	2	5	0	0:00:03.046096
258	2	5	0	0:00:03.042358
259	2	5	0	0:00:03.032260
260	2	5	0	0:00:03.037428
261	2	5	0	0:00:03.050239
262	2	5	0	0:00:03.048880
263	2	5	0	0:00:03.023142
264	2	5	0	0:00:03.075527
265	2	5	0	0:00:03.071263
266	2	5	0	0:00:03.059272
267	2	5	0	0:00:03.039647
268	2	5	0	0:00:03.040673
269	2	5	0	0:00:03.050540
270	2	5	0	0:00:03.047603
271	2	5	0	0:00:03.026441
272	2	5	0	0:00:03.031142
273	2	5	0	0:00:03.033486
274	2	5	0	0:00:03.035646
275	2	5	0	0:00:03.028975
276	2	5	0	0:00:03.049402
277	2	5	0	0:00:03.023477
278	2	5	0	0:00:03.042811
279	1	5	0	0:00:03.018139
280	1	5	0	0:00:03.021152
281	1	5	0	0:00:03.022375
282	1	5	0	0:00:03.036771
283	1	5	0	0:00:03.040329
284	1	5	0	0:00:03.020229
285	1	5	0	0:00:03.028318
286	1	5	0	0:00:03.038361
287	1	5	0	0:00:03.041586
288	1	5	0	0:00:03.072562
289	1	5	0	0:00:03.035429
290	1	5	0	0:00:03.046012
291	1	5	0	0:00:03.045795
292	1	5	0	0:00:03.034442
293	1	5	0	0:00:03.066783
294	1	5	0	0:00:03.048667
295	1	5	0	0:00:03.053989
296	1	5	0	0:00:03.040971
297	1	5	0	0:00:03.055911
298	1	5	0	0:00:03.040302
299	1	5	0	0:00:03.051883
300	1	5	0	0:00:03.038842
301	1	5	0	0:00:03.053056
302	4	3	0	0:00:03.042397
303	4	3	0	0:00:03.048951
304	4	3	0	0:00:01.811148
305	4	3	0	0:00:01.420980
306	4	3	0	0:00:01.414528
307	4	3	0	0:00:01.420969
308	4	3	0	0:00:01.410197
309	4	3	0	0:00:01.417495
310	4	3	0	0:00:01.418067
311	4	3	0	0:00:02.178653
312	4	3	0	0:00:02.964781
313	4	3	0	0:00:02.968640
314	4	3	0	0:00:02.932556
315	4	3	0	0:00:02.970862
316	4	3	0	0:00:02.990711
317	4	3	0	0:00:02.950252
318	4	3	0	0:00:02.999306
319	4	3	0	0:00:03.000701
320	4	3	0	0:00:02.962899
321	4	3	0	0:00:03.009978
322	4	3	0	0:00:03.020527
323	4	3	0	0:00:02.999255
324	4	3	0	0:00:03.002876
325	4	3	0	0:00:03.043978
326	4	3	0	0:00:03.028021
327	4	3	0	0:00:03.009600
328	4	3	0	0:00:03.038317
329	4	3	0	0:00:03.007155
330	3	3	1	0:00:02.975528
331	3	3	1	0:00:03.043628
332	3	3	1	0:00:03.036966
333	3	3	1	0:00:03.015836
334	3	3	1	0:00:03.033129
335	3	3	1	0:00:03.046789
336	3	3	1	0:00:03.022897
337	3	3	1	0:00:02.979357
338	3	3	1	0:00:03.027829
339	3	3	1	0:00:03.023602
340	3	3	1	0:00:02.976818
341	3	3	1	0:00:03.030966
342	3	3	1	0:00:03.042511
343	3	3	1	0:00:03.020051
344	3	3	1	0:00:03.045988
345	3	3	1	0:00:03.034291
346	3	3	1	0:00:02.993104
347	3	3	1	0:00:03.035222
348	3	3	1	0:00:03.060023
349	3	3	1	0:00:02.972238
350	3	3	1	0:00:03.028398
351	3	3	1	0:00:03.030603
352	3	3	1	0:00:03.005993
353	3	3	1	0:00:03.008403
354	5	5	1	0:00:03.023769
355	5	5	1	0:00:03.031068
356	5	5	1	0:00:02.987227
357	5	5	1	0:00:03.022907
358	5	5	1	0:00:03.032322
359	5	5	1	0:00:02.971790
360	5	5	1	0:00:03.002432
361	5	5	1	0:00:03.034505
362	5	5	1	0:00:02.973521
363	5	5	1	0:00:03.032938
364	5	5	1	0:00:03.019279
365	5	5	1	0:00:02.968465
366	5	5	1	0:00:03.040462
367	5	5	1	0:00:03.014172
368	5	5	1	0:00:03.005162
369	5	5	1	0:00:02.995868
370	5	5	1	0:00:03.018847
371	5	5	1	0:00:03.016842
372	5	5	1	0:00:02.981198
373	5	5	1	0:00:03.032267
374	5	5	1	0:00:03.015306
375	5	5	1	0:00:02.973822
376	5	5	1	0:00:03.032909
377	5	5	1	0:00:03.019276
378	5	5	1	0:00:02.983892
379	5	5	1	0:00:03.017093
380	5	5	1	0:00:03.017455
381	5	5	1	0:00:02.971457
382	5	5	1	0:00:03.017208
383	5	5	1	0:00:03.017129
384	0	-1	0	0:00:02.975041
385	0	5	0	0:00:03.019311
386	0	5	0	0:00:03.075322
387	0	5	0	0:00:03.000398
388	0	5	0	0:00:03.020695
389	0	5	0	0:00:03.021104
390	0	5	0	0:00:02.994205
391	0	5	0	0:00:03.024249
392	0	5	0	0:00:03.024220
393	0	5	0	0:00:02.994053
394	0	-1	0	0:00:03.006816
395	0	-1	0	0:00:03.020382
396	0	5	0	0:00:03.014335
397	0	5	0	0:00:02.980391
398	0	5	0	0:00:03.034099
399	0	5	0	0:00:03.015107
400	0	5	0	0:00:02.978022
401	0	5	0	0:00:03.013658
402	0	5	0	0:00:03.024072
403	0	-1	0	0:00:02.971724
404	0	5	0	0:00:03.009975
405	0	5	0	0:00:03.016903
406	0	5	0	0:00:02.974487
407	0	5	0	0:00:03.013383
408	0	5	0	0:00:03.011812
409	0	5	0	0:00:02.973948
410	0	-1	0	0:00:03.010173
411	0	5	0	0:00:03.014283
412	0	5	0	0:00:02.985347
413	0	-1	0	0:00:03.009495
414	0	5	0	0:00:03.006897
415	2	5	0	0:00:02.962379
416	2	5	0	0:00:03.035556
417	2	5	0	0:00:03.015268
418	2	5	0	0:00:02.981591
419	2	5	0	0:00:03.011163
420	2	5	0	0:00:03.019971
421	2	5	0	0:00:02.970120
422	2	5	0	0:00:03.012992
423	2	5	0	0:00:03.001565
424	2	5	0	0:00:02.976531
425	2	5	0	0:00:03.018799
426	2	5	0	0:00:03.021394
427	2	5	0	0:00:02.993903
428	2	5	0	0:00:02.956453
429	2	5	0	0:00:03.006686
430	2	5	0	0:00:03.011145
431	2	-1	0	0:00:02.972269
432	2	5	0	0:00:03.009762
433	2	5	0	0:00:03.009034
434	2	5	0	0:00:02.989599
435	2	5	0	0:00:03.021359
436	2	5	0	0:00:03.040077
437	2	5	0	0:00:02.966800
438	1	5	0	0:00:03.004735
439	1	5	0	0:00:03.010504
440	1	5	0	0:00:02.988664
441	1	5	0	0:00:03.011052
442	1	5	0	0:00:03.021720
443	1	5	0	0:00:02.971633
444	1	5	0	0:00:03.015505
445	1	5	0	0:00:03.020944
446	1	5	0	0:00:03.005461
447	1	5	0	0:00:03.017104
448	1	5	0	0:00:03.027441
449	1	5	0	0:00:02.991864
450	1	5	0	0:00:03.013966
451	1	5	0	0:00:02.995626
452	1	5	0	0:00:02.963223
453	1	5	0	0:00:03.004120
454	1	5	0	0:00:03.004787
455	1	5	0	0:00:02.965066
456	1	5	0	0:00:02.992167
457	1	5	0	0:00:03.019130
458	1	5	0	0:00:02.975983
459	1	5	0	0:00:03.008955
460	1	5	0	0:00:03.014873
461	1	5	0	0:00:02.990446
462	1	5	0	0:00:03.014018
463	1	5	0	0:00:03.015162
464	1	5	0	0:00:02.972428
465	1	5	0	0:00:03.010897
466	4	5	0	0:00:03.045064
467	4	3	0	0:00:03.049763
468	4	3	0	0:00:03.028702
469	4	3	0	0:00:03.011126
470	4	3	0	0:00:02.975459
471	4	3	0	0:00:03.012602
472	4	3	0	0:00:03.026494
473	4	3	0	0:00:02.977801
474	4	3	0	0:00:03.012679
475	4	3	0	0:00:03.014662
476	4	3	0	0:00:02.952824
477	4	3	0	0:00:03.009531
478	4	3	0	0:00:03.030992
479	4	3	0	0:00:02.984774
480	4	3	0	0:00:03.007413
481	4	3	0	0:00:03.008945
482	4	3	0	0:00:02.985310
483	4	3	0	0:00:03.003469
484	4	3	0	0:00:03.015166
485	4	3	0	0:00:03.009902
486	4	3	0	0:00:03.015115
487	4	3	0	0:00:03.028484
488	4	3	0	0:00:03.009105
489	4	3	0	0:00:03.036523
490	4	3	0	0:00:03.042371
491	4	3	0	0:00:03.017887
492	4	3	0	0:00:03.049013
493	4	3	0	0:00:03.053327
494	3	3	1	0:00:03.002299
495	3	3	1	0:00:03.143481
496	3	3	1	0:00:03.000274
497	3	3	1	0:00:02.968371
498	3	3	1	0:00:03.015138
499	3	3	1	0:00:03.005630
500	3	3	1	0:00:02.977114
501	3	3	1	0:00:03.010392
502	3	3	1	0:00:03.039197
503	3	3	1	0:00:02.997715
504	3	3	1	0:00:03.011672
505	3	3	1	0:00:03.059928
506	3	3	1	0:00:02.969836
507	3	3	1	0:00:03.016965
508	3	3	1	0:00:03.026895
509	3	3	1	0:00:02.965359
510	3	3	1	0:00:03.038023
511	3	3	1	0:00:03.051160
512	3	3	1	0:00:03.020601
513	3	3	1	0:00:03.025413
514	3	3	1	0:00:02.991488
515	3	3	1	0:00:03.049520
516	3	3	1	0:00:03.026305
517	3	3	1	0:00:02.971191
518	3	3	1	0:00:03.009003
519	3	3	1	0:00:02.997620
520	5	5	1	0:00:02.991433
521	5	5	1	0:00:03.060438
522	5	5	1	0:00:03.006280
523	5	5	1	0:00:02.984947
524	5	5	1	0:00:02.982359
525	5	5	1	0:00:03.010494
526	5	5	1	0:00:02.973644
527	5	5	1	0:00:03.074153
528	5	5	1	0:00:03.051208
529	5	5	1	0:00:03.103338
530	5	5	1	0:00:03.046479
531	5	5	1	0:00:03.060580
532	5	5	1	0:00:03.040985
533	5	5	1	0:00:03.054372
534	5	5	1	0:00:03.062829
535	5	5	1	0:00:03.051134
536	5	5	1	0:00:03.022804
537	5	5	1	0:00:03.040511
538	5	5	1	0:00:03.058693
539	5	5	1	0:00:03.052089
540	5	5	1	0:00:03.031589
541	5	5	1	0:00:03.044867
542	5	5	1	0:00:03.031024
543	5	5	1	0:00:03.039423
544	0	5	0	0:00:03.027293
545	0	-1	0	0:00:03.046795
546	0	-1	0	0:00:03.037744
547	0	-1	0	0:00:03.045125
548	0	-1	0	0:00:03.057556
549	0	5	0	0:00:03.046427
550	0	5	0	0:00:03.051674
551	0	5	0	0:00:03.042903
552	0	5	0	0:00:03.039394
553	0	5	0	0:00:03.072470
554	0	5	0	0:00:03.085268
555	0	5	0	0:00:03.068821
556	0	5	0	0:00:03.043518
557	0	5	0	0:00:03.049554
558	0	5	0	0:00:03.048272
559	0	5	0	0:00:03.049168
560	0	5	0	0:00:03.039599
561	0	5	0	0:00:03.078323
562	0	5	0	0:00:03.066810
563	0	5	0	0:00:03.055881
564	0	5	0	0:00:03.082858
565	0	5	0	0:00:03.091436
566	0	5	0	0:00:03.079016
567	0	5	0	0:00:03.074568
568	0	5	0	0:00:03.061778
569	0	5	0	0:00:03.049255
570	0	5	0	0:00:03.085910
571	0	5	0	0:00:03.055924
572	0	5	0	0:00:03.055182
573	2	5	0	0:00:03.086861
