idx	label	predict	correct	time
0	4	-1	0	0:00:01.513044
1	4	-1	0	0:00:01.483588
2	4	3	0	0:00:01.494622
3	4	3	0	0:00:01.503196
4	4	3	0	0:00:01.535013
5	4	3	0	0:00:01.501065
6	4	3	0	0:00:01.507866
7	4	3	0	0:00:01.600272
8	4	3	0	0:00:01.532637
9	4	-1	0	0:00:01.544671
10	4	3	0	0:00:01.522019
11	4	3	0	0:00:01.512910
12	4	3	0	0:00:01.504646
13	4	3	0	0:00:01.513124
14	4	3	0	0:00:01.470991
15	4	3	0	0:00:01.524340
16	4	-1	0	0:00:01.486193
17	4	-1	0	0:00:01.538790
18	4	-1	0	0:00:01.475543
19	4	-1	0	0:00:01.536380
20	4	-1	0	0:00:01.527016
21	4	-1	0	0:00:01.543404
22	4	3	0	0:00:01.549529
23	4	3	0	0:00:01.532675
24	4	-1	0	0:00:01.516175
25	4	-1	0	0:00:01.512379
26	4	-1	0	0:00:01.511899
27	4	-1	0	0:00:01.537829
28	4	-1	0	0:00:01.491772
29	4	-1	0	0:00:01.522717
30	4	-1	0	0:00:01.519965
31	3	4	0	0:00:01.483999
32	3	4	0	0:00:01.493733
33	3	4	0	0:00:01.576766
34	3	4	0	0:00:01.537359
35	3	4	0	0:00:01.507452
36	3	4	0	0:00:01.516212
37	3	4	0	0:00:01.487913
38	3	4	0	0:00:01.496104
39	3	4	0	0:00:01.537438
40	3	4	0	0:00:01.525533
41	3	4	0	0:00:01.521986
42	3	4	0	0:00:01.500211
43	3	4	0	0:00:01.502727
44	3	3	1	0:00:01.511525
45	3	3	1	0:00:01.500025
46	3	4	0	0:00:01.504802
47	3	4	0	0:00:01.522946
48	3	4	0	0:00:01.524574
49	3	4	0	0:00:01.522099
50	3	4	0	0:00:01.539221
51	3	4	0	0:00:01.498696
52	3	4	0	0:00:01.557387
53	3	4	0	0:00:01.490796
54	3	4	0	0:00:01.555030
55	5	5	1	0:00:01.489856
56	5	5	1	0:00:01.493491
57	5	5	1	0:00:01.541410
58	5	5	1	0:00:01.507857
59	5	5	1	0:00:01.547323
60	5	5	1	0:00:01.542839
61	5	5	1	0:00:01.527699
62	5	5	1	0:00:01.494349
63	5	5	1	0:00:01.494004
64	5	5	1	0:00:01.477104
65	5	5	1	0:00:01.506873
66	5	5	1	0:00:01.535105
67	5	5	1	0:00:01.527282
68	5	5	1	0:00:01.539598
69	5	5	1	0:00:01.551843
70	5	5	1	0:00:01.549597
71	5	5	1	0:00:01.540408
72	5	5	1	0:00:01.560958
73	5	5	1	0:00:01.575514
74	5	5	1	0:00:01.521844
75	5	5	1	0:00:01.541391
76	5	5	1	0:00:01.546112
77	5	5	1	0:00:01.551752
78	5	5	1	0:00:01.524479
79	0	-1	0	0:00:01.512748
80	0	3	0	0:00:01.528211
81	0	-1	0	0:00:01.544303
82	0	3	0	0:00:01.534071
83	0	-1	0	0:00:01.563137
84	0	-1	0	0:00:01.546771
85	0	3	0	0:00:01.548743
86	0	3	0	0:00:01.522841
87	0	3	0	0:00:01.520989
88	0	3	0	0:00:01.543279
89	0	-1	0	0:00:01.540586
90	0	3	0	0:00:01.528852
91	0	-1	0	0:00:01.509269
92	0	-1	0	0:00:01.519719
93	0	3	0	0:00:01.544062
94	0	3	0	0:00:01.524947
95	0	3	0	0:00:01.504830
96	0	-1	0	0:00:01.514618
97	0	-1	0	0:00:01.557037
98	0	3	0	0:00:01.532554
99	0	-1	0	0:00:01.518131
100	0	-1	0	0:00:01.542171
101	0	-1	0	0:00:01.521233
102	0	-1	0	0:00:01.505026
103	0	3	0	0:00:01.503238
104	0	-1	0	0:00:01.560581
105	0	3	0	0:00:01.565833
106	0	3	0	0:00:01.520136
107	0	3	0	0:00:01.525157
108	0	3	0	0:00:01.532987
109	2	5	0	0:00:01.495568
110	2	5	0	0:00:01.478765
111	2	5	0	0:00:01.483590
112	2	5	0	0:00:01.519860
113	2	5	0	0:00:01.478338
114	2	5	0	0:00:01.525253
